"filename", "language", "C++", "Shell Script", "C", "comment", "blank", "total"
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.c", "C", 0, 0, 53, 0, 19, 72
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.h", "C++", 14, 0, 0, 0, 5, 19
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.c", "C", 0, 0, 63, 0, 11, 74
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.h", "C++", 12, 0, 0, 2, 3, 17
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/linklist.h", "C++", 51, 0, 0, 0, 4, 55
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/main.c", "C", 0, 0, 7, 0, 1, 8
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/run.sh", "Shell Script", 0, 2, 0, 0, 0, 2
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.c", "C", 0, 0, 27, 0, 5, 32
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.h", "C++", 16, 0, 0, 3, 9, 28
"Total", "-", 93, 2, 150, 5, 57, 307
