"filename", "language", "C++", "C", "Shell Script", "comment", "blank", "total"
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.c", "C", 0, 53, 0, 0, 19, 72
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.h", "C++", 14, 0, 0, 0, 5, 19
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.c", "C", 0, 63, 0, 0, 11, 74
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.h", "C++", 12, 0, 0, 2, 3, 17
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/leakcheck.h", "C++", 125, 0, 0, 51, 18, 194
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/linklist.h", "C++", 73, 0, 0, 4, 6, 83
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/main.c", "C", 0, 11, 0, 0, 2, 13
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/run.sh", "Shell Script", 0, 0, 2, 0, 0, 2
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.c", "C", 0, 110, 0, 0, 15, 125
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.h", "C++", 20, 0, 0, 3, 12, 35
"Total", "-", 244, 237, 2, 60, 91, 634
