"filename", "language", "C++", "Ghost Lisp", "C", "Shell Script", "comment", "blank", "total"
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.c", "C", 0, 0, 57, 0, 8, 17, 82
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.h", "C++", 14, 0, 0, 0, 0, 5, 19
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.c", "C", 0, 0, 85, 0, 0, 14, 99
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.h", "C++", 17, 0, 0, 0, 7, 6, 30
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/leakcheck.h", "C++", 125, 0, 0, 0, 51, 18, 194
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/linklist.h", "C++", 76, 0, 0, 0, 4, 6, 86
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/main.c", "C", 0, 0, 18, 0, 3, 5, 26
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/parser.c", "C", 0, 0, 112, 0, 0, 10, 122
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/parser.h", "C++", 13, 0, 0, 0, 3, 4, 20
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/run.sh", "Shell Script", 0, 0, 0, 2, 0, 0, 2
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/test.c3", "Ghost Lisp", 0, 1, 0, 0, 0, 0, 1
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.c", "C", 0, 0, 128, 0, 0, 19, 147
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.h", "C++", 28, 0, 0, 0, 8, 16, 52
"Total", "-", 273, 1, 400, 2, 84, 120, 880
