"filename", "language", "TXT", "C++", "Ghost Lisp", "C", "NASM Assembly", "comment", "blank", "total"
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.c", "C", 0, 0, 0, 1, 0, 0, 1, 2
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/builtin-func.c", "C", 0, 0, 0, 274, 0, 4, 43, 321
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/builtin-func.h", "C++", 0, 6, 0, 0, 0, 0, 1, 7
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/expander.c", "C", 0, 0, 0, 275, 0, 4, 35, 314
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/expander.h", "C++", 0, 18, 0, 0, 0, 0, 9, 27
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.c", "C", 0, 0, 0, 49, 0, 0, 7, 56
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.h", "C++", 0, 5, 0, 0, 0, 0, 2, 7
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/linklist.h", "C++", 0, -4, 0, 0, 0, -4, -1, -9
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/log.txt", "TXT", 170, 0, 0, 0, 0, 0, 1, 171
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/main.c", "C", 0, 0, 0, 29, 0, 8, 9, 46
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/parser.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/test.asm", "NASM Assembly", 0, 0, 0, 0, 17, 0, 2, 19
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/test.c3", "Ghost Lisp", 0, 0, 12, 0, 0, 0, 1, 13
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.c", "C", 0, 0, 0, 19, 0, 1, 2, 22
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.h", "C++", 0, 3, 0, 0, 0, 0, 2, 5
"Total", "-", 170, 28, 12, 647, 17, 13, 115, 1002
