"filename", "language", "C++", "TXT", "Ghost Lisp", "Shell Script", "C", "NASM Assembly", "comment", "blank", "total"
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.c", "C", 0, 0, 0, 0, 58, 0, 8, 18, 84
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/alloc.h", "C++", 14, 0, 0, 0, 0, 0, 0, 5, 19
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/builtin-func.c", "C", 0, 0, 0, 0, 274, 0, 4, 43, 321
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/builtin-func.h", "C++", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/expander.c", "C", 0, 0, 0, 0, 275, 0, 4, 35, 314
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/expander.h", "C++", 18, 0, 0, 0, 0, 0, 0, 9, 27
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.c", "C", 0, 0, 0, 0, 134, 0, 0, 21, 155
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/fstr.h", "C++", 22, 0, 0, 0, 0, 0, 7, 8, 37
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/leakcheck.h", "C++", 125, 0, 0, 0, 0, 0, 51, 18, 194
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/linklist.h", "C++", 72, 0, 0, 0, 0, 0, 0, 5, 77
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/log.txt", "TXT", 0, 170, 0, 0, 0, 0, 0, 1, 171
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/main.c", "C", 0, 0, 0, 0, 47, 0, 11, 14, 72
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/parser.c", "C", 0, 0, 0, 0, 112, 0, 0, 11, 123
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/parser.h", "C++", 13, 0, 0, 0, 0, 0, 3, 4, 20
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/run.sh", "Shell Script", 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/test.asm", "NASM Assembly", 0, 0, 0, 0, 0, 17, 0, 2, 19
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/test.c3", "Ghost Lisp", 0, 0, 13, 0, 0, 0, 0, 1, 14
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.c", "C", 0, 0, 0, 0, 147, 0, 1, 21, 169
"/home/zhangjunduo/Projects/complex-low-level-lisp/c3gc/token.h", "C++", 31, 0, 0, 0, 0, 0, 8, 18, 57
"Total", "-", 301, 170, 13, 2, 1047, 17, 97, 235, 1882
